58,S000100             ,MJBTBR30F3K211046   ,B8347E,B -8347-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080530       ,2003-06-01,          
59,S000101             ,MJBTBR30F3K211045   ,B8348E,B -8348-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080562       ,2003-06-01,          
60,S000102             ,MJBTBR30F3K211048   ,B8349E,B -8349-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25079213       ,2003-06-01,          
61,S000103             ,MJBTBR30F2K210792   ,B8384EF,B -8384-EF ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25079145       ,2003-05-01,          
62,S000104             ,MJBTBR30F2K210793   ,B8385EF,B -8385-EF ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076880       ,2003-05-01,          
63,S000105             ,MJBTBR30F2K210740   ,B8385FZ,B -8385-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076802       ,2003-05-01,          
64,S000106             ,MJBTBR30F2K210780   ,B8386EF,B -8386-EF ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076869       ,2003-05-01,          
65,S000107             ,MJBTBR30F2K210667   ,B8386FZ,B -8386-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076832       ,2003-05-01,          
66,S000108             ,MJBTBR30F3K211042   ,B8393E,B -8393-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080528       ,2003-06-01,          
67,S000109             ,MJBTBR30F2K210875   ,B8394AF,B -8394-AF ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079166       ,2003-05-01,          
68,S000110             ,MJBTBR30F2K210666   ,B8397FZ,B -8397-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076830       ,2003-05-01,          
69,S000111             ,MJBTBR30F2K210703   ,B8398FZ,B -8398-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076798       ,2003-05-01,          
70,S000112             ,MJBTBR30F2K210874   ,B8400AW,B -8400-AW ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079183       ,2003-05-01,          
71,S000113             ,MJBTBR30F2K210706   ,B8400FZ,B -8400-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076819       ,2003-05-01,          
72,S000114             ,MJBTBR30F2K210600   ,B8401AW,B -8401-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073640       ,2003-05-01,          
73,S000115             ,MJBTBR30F2K210018   ,B8401FZ,B -8401-FZ ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25061280       ,2003-05-01,          
74,S000116             ,MJBTBR30F2K210734   ,B8402FZ,B -8402-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073710       ,2003-05-01,          
75,S000117             ,MJBTBR30F2K210622   ,B8405AW,B -8405-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069458       ,2003-05-01,          
76,S000118             ,MJBTBR30F2K210704   ,B8405FZ,B -8405-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076881       ,2003-05-01,          
77,S000119             ,MJBTBR30F2K210669   ,B8408FZ,B -8408-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25073620       ,2003-05-01,          
78,S000120             ,MJBTBR30F2K210630   ,B8409AW,B -8409-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25067693       ,2003-05-01,          
79,S000121             ,MJBTBR30F2K210709   ,B8409FZ,B -8409-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076877       ,2003-05-01,          
80,S000122             ,MJBTBR30F2K210889   ,B8410AW,B -8410-AW ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079140       ,2003-05-01,          
