304,HNDAJKTTBT,"Setianita Megah Motor,PT                "
305,RHRNSGT,Opr Harent Sangatta                     
306,CRLIJKTCLD,"Corelab Indonesia,PT                    "
307,MARSBPNMTH,"Mahakam Auto Rent Service,PT            "
308,GBPRTGRPDA,Gabrille Production                     
309,PRSWKDRHSN,"Prasetia Wibowo,CV                      "
310,BRJMSGTIAM,"Remaja Motor Sangatta,UD                "
311,BJSSJKTSHB,"JS Sport,Toko                           "
312,KARAJKTGNS,"Karabha Perkasa,PT                      "
313,NISSBDOSKH,"Indo Sentosa Trada,PT                   "
314,TRMMSGTYSS,Terra Media Mandiri                     
315,TITAN CH,"Titan Chemical,PT                       "
316,KJSSJKTKLG,"Kreasindo Jaya Sentosa,PT               "
317,BANJPLBVTR,"Anugrah Jaya, PD                        "
318,HNDABKSCKR,"Prospect Motor,PT                       "
319,ATPMDMIOMB,Auto Prima                              
320,AUT2SUBWRU,"A 2000 Waru,PT                          "
321,ADHSJKTBLP,"Astra Daihatsu Jkt Blp,PT               "
322,BMKPBDGDRC,Mekar Putra Ban                         
323,JOLOMDNCKR,Jolo Indah Motor                        
324,AGAMDMIRYD,"Agung Automall Duri,PT                  "
325,WKSKPNKKTB,Workshop Karya                          
326,TKJMJKTSKB,"JM Karpet, Toko                         "
327,AUT2BGRSLW,"A 2000 Bogor Siliwangi,PT               "
328,HNDABDOCCD,"Istana Bandung Raya Motor,PT            "
329,CMBIMES,MBI Medan                               
330,AUT2CRBBDS,"A 2000 Cirebon,PT                       "
331,ASCOSUBJMS,"Asco Prima Mobilindo Jemur S,P          "
332,MITSSGTYSS,Mitsubishi Sangatta                     
333,CPGNJKT,"Perusahaan Gas Negara,PT                "
334,AISZMLGSDP,"Astra Isuzu Malang,PT                   "
335,SBBAJKTTSR,"Sumber Berkat Anugrah,PT                "
336,HNDATGRSRP,"Pro Union Indo Jaya,PT                  "
337,TNSRJKTCNR,"Tunas Ridean Cinere,PT                  "
338,BLHWSMDAHS,"Linda Hanta Wijaya,pt                   "
339,AUT2KDRHSN,"A 2000 Kediri,PT                        "
340,AUT2PLMAYN,"A 2000 Palembang A.Yani,PT              "
341,RHRNCLGN,Opr Harent Cilegon                      
342,NISSJKTRXY,"Wahana Wirawan Cbg Roxy,PT              "
343,HSADJKTSRS,"Hasjrat Abadi,PT                        "
344,ADHSMESSSM,"Astra Daihatsu Medan,PT                 "
345,ADHSJKTYSD,"Astra Daihatsu Yos Sudarso,PT           "
346,AUT2BDOSKH,A 2000 Bandung Soekarno Hatta           
347,BSDRPKUDMI,Bengkel Saudara                         
348,CKKSTGRIDT,"Krakatau Steel,pt                       "
349,CABFJKTSPM,"ABF Indonesia,PT                        "
350,NISSJOGMGL,"Wahana Sumber Baru Yogya,PT             "
351,MAWJJKTJLB,Mustika Adi Wijaya                      
352,CCARSRG,"AJ. Central Asia Raya Smg,PT            "
353,CBNIBALI,"BNI Bali,PT                             "
354,AUT2JKTKLM,"A 2000 Kalimalang,PT                    "
355,ADHSCBNTPR,"Astra Daihatsu Cirebon,PT               "
356,NSMJOGMGLG,"Nasmoco Bahtera Motor,PT                "
357,NSMSMRGPMD,"Nasmoco Pemuda,PT                       "
358,HKALMKSSTD,"Hadji Kalla Mks Sultan A,PT             "
359,ATYTSBYKIT,Astra TSO Kertajaya Sby                 
360,ATYTPLGVTR,Astra TSO Veteran Palembg               
361,AUT2JKTCBN,"A 2000 Cibinong,PT                      "
362,CMBSSJKT,"Mitrabahtera Segara Sejati,pt           "
363,BPRMSUBJSR,"Paramita Banindo Makmur Sby,PT          "
364,CBNIBJNGR,"BNI Bojonegoro,PT                       "
365,TRWNSGTYSS,Triwisnna                               
366,FORDJKTPUS,"Kreasi Auto Kencana,PT                  "
