219,KOPINDOBLI,KOPERASI PEGAWAI PT. INDOSAT                                                    
220,MAXMUCO,PT. MAXIMUS MULTI KONSEP                                                        
221,BERLINA,"PT. BERLINA, TBK                                                                "
222,G4SSSERV,PT. G4S SECURITY SERVICES                                                       
223,ANADARKO,ANADARKO INDONESIA COMPANY                                                      
224,SEMBAT,PT. SEMEN BATURAJA (PERSERO) TBK                                                
225,BMANDRSBY,PT. BANK MANDIRI (PERSERO) TBK                                                  
226,KOPINDOPTK,KOPERASI PEGAWAI PT. INDOSAT                                                    
227,CNOOC,CNOOC SES LTD.                                                                  
228,MCS,PT. MANDIRI CIPTA SEJAHTERA                                                     
229,EXXON,EXXONMOBIL OIL INDONESIA INC.                                                   
230,KOPINDONAS,KOPERASI PEGAWAI PT. INDOSAT                                                    
231,PORTRUSH,PT. PORT RUSH                                                                   
232,BPWESTJAVA,BP WEST JAVA LTD                                                                
233,JASPETRO,PT. JASATAMA PETROINDO                                                          
234,BOBBSPHULU,BOB PT. BSP - PERTAMINA HULU                                                    
235,BERINSA,PT. BERRI INDOSARI                                                              
236,KOPCKB,KOPERASI KARYAWAN CENTRAL KARYA BERSAMA                                         
237,RSPP,PT. PERTAMINA BINA MEDIKA                                                       
238,COMINT,PT. COMEXINDO INTERNATIONAL                                                     
239,SUMITOMO,SUMITOMO CHEM ENVIRO AGRO ASPAC SDN BHD                                         
240,PERMIEPMDK,PT. PERTAMINA EP MATINDOK                                                       
241,ERESHA,PT. ERESHA TECHNOLOGIES                                                         
242,AELINDON,PT. AEL INDONESIA                                                               
243,NACAPIND,PT. NACAP INDONESIA                                                             
244,PERMIEPCPU,ASSET 4 PT.PERTAMINA EP FIELD CEPU                                              
245,PETRINTSRG,PETROCHINA INTERNATIONAL (BERMUDA) LTD                                          
246,KAMIPE,PT. KALIMUTU MITRA PERKASA                                                      
247,BPBERAU,BP BERAU LTD                                                                    
248,BBTN,PT. BANK TABUNGAN NEGARA (PERSERO)                                              
249,MIPHARINT,PT. MILLENNIUM PHARMACON INT. TBK                                               
250,PERMIEPLMU,PT. PERTAMINA EP UBEP LIMAU                                                     
251,SAKEMU,PT. SARANA KENCANA MULIA                                                        
252,KRAFTIND,PT. KRAFT INDONESIA                                                             
253,BPHMIGAS,BADAN PENGATUR HILIR MIGAS                                                      
254,DJARUM,PT. DJARUM                                                                      
255,CENCAFU,PT. CENTRAL CAPITAL FUTURE                                                      
256,SMALTOASIA,PT. SMALTOCHIMICA ASIA                                                          
257,NUTRANS,PT. NUSANTARA TRANSINDO                                                         
258,MEDCOIND,PT. MEDCO E&P INDONESIA                                                         
259,READYMIX,PT. READYMIX CONCRETE INDONESIA                                                 
260,THIESS,PT. THIESS CONTRACTORS INDONESIA                                                
261,BUIB,PT. UTAMA INTERNATIONAL BANK                                                    
262,BORAL,PT. BORAL PIPE AND PRECAST INDONESIA                                            
263,PERMIEPKTI,PT. PERTAMINA EP ASSET 5                                                        
264,SALAMUDA,PT. SAPTA LARONA MUDA                                                           
265,SENTINEL,PT. SENTINEL CAKRA BUANA                                                        
266,VICOIND,"VIRGINIA INDONESIA CO., LLC                                                     "
267,SYMRISE,PT. SYMRISE                                                                     
268,PERMINAJBI,PT. PRAKARSA BETUNG MERUO SENAMI JAMBI                                          
269,PERMINAMRP,TAC PERTAMINA BWP MERUAP PTE LTD                                                
270,TUNASGSERV,PT. TUNAS GRAHA SERVINDO                                                        
271,NIELSENIND,PT. THE NIELSEN COMPANY INDONESIA                                               
272,DAMASIN,PT. DAMAR MAS SINERGY                                                           
273,PERMINAHO,PT. PERTAMINA (PERSERO)                                                         
274,SMDREXPLOR,SOUTH MADURA EXPLORATION COMPANY LTD                                            
275,FIMEDSBY,PT. FIRST MEDIA TBK                                                             
276,USATEC,PT. USAHA SOLUSI ANDALAN                                                        
277,VOKSEL,PT. VOKSEL ELECTRIC TBK                                                         
278,BHARFA,PT. BANK HARFA                                                                  
279,FEROMASDI,PT. FERRO MAS DINAMIKA                                                          
280,INBISCO,PT. INBISCO NIAGATAMA SEMESTA                                                   
281,TIRFRESJA,PT. TIRTA FRESINDO JAYA                                                         
282,GEOENGIND,PT. GEOGRAPHE ENERGY INDONESIA                                                  
283,HRMJKT,PT. HARTONO RAYA MOTOR                                                          
284,HRMSBY,PT. HARTONO RAYA MOTOR                                                          
285,KUDOSIND,PT. KUDOS INDONESIA                                                             
286,PERMIEPCBN,PT. PERTAMINA EP REGION JAWA                                                    
287,KAKITA,CV KAWAN KITA                                                                   
288,SENKIM,PT.SENTOSA KIMIA                                                                
289,TOBUNDE,CV. TONGKO BUNTU DEA                                                            
